년월,데이터 건수,평당 거래가
201512,226,858.9706780690872
201601,223,886.5402197858641
201602,229,844.0516767203017
201603,399,842.6524041678799
201604,352,876.5418700675909
201605,322,867.8323247156717
201606,411,905.6415867214973
201607,406,938.5845442693068
201608,402,892.9618455744687
201609,461,916.999061126274
201610,476,927.0780528377106
201611,263,909.9023979371744
201612,248,911.4328027200378
201701,228,930.2243897081609
201702,318,937.4479140793206
201703,425,912.5306650536985
201704,397,936.2876105548347
201705,360,922.9874450061579
201706,345,948.617150879993
201707,347,936.8860666027783
201708,328,971.1623318193447
201709,336,972.3347474964498
201710,304,936.7492657512613
201711,331,917.0803405604316
201712,283,928.0462472714332
201801,295,943.7150035846655
201802,271,945.0951868687142
201803,418,946.7950244457488
201804,280,960.0735691078638
201805,302,976.4299769141295
201806,285,1082.27533520893
201807,269,1067.3911923277042
201808,307,1033.2748875428488
201809,319,1062.100680467649
201810,301,995.9620446791231
201811,182,974.2661823068013
201812,199,989.0451829025575
201901,205,950.7116106860183
201902,189,967.4506884908831
201903,245,989.3031072679114
201904,246,972.9545463368078
201905,244,996.7312633924378
201906,261,1015.5346446955645
201907,222,979.7161615524808
201908,344,1131.0661668662055
201909,217,1050.646286315255
201910,321,1032.795166574164
201911,369,1029.966396944089
201912,429,1124.1679320140372
202001,376,1156.0207580408157
202002,893,1157.4527747142963
202003,519,1062.8200380184742
202004,459,1037.678367389545
202005,491,1048.457801607708
202006,753,1041.82337610437
202007,444,1018.553731610247
202008,302,1011.623329612983
202009,295,1018.6850826742415
202010,332,1058.0709855963266
202011,339,1111.0760977474483
202012,404,1202.4515091880735
202101,413,1186.4351532311985
202102,456,1186.9087343191902
202103,652,1135.4936920026475
202104,551,1132.1209568878533
202105,481,1150.544167091557
202106,412,1149.7228883384505
202107,360,1277.8124176658955
202108,359,1457.5583015584914
202109,308,1484.9051180397953
202110,286,1431.9610631136072
202111,156,1335.7260762823817
202112,149,1327.7699712996691
202201,129,1289.039045842848
202202,183,1338.453253793464
202203,183,1362.9968204741922
202204,230,1396.6067534403069
202205,251,1512.1148517295035
202206,192,1454.1517718130021
202207,111,1346.1562993161356
202208,130,1289.5203554774175
202209,126,1249.892565244958
202210,99,1393.9145120968903
202211,96,1373.7489210203457
202212,93,1367.433902824246
202301,127,1343.986559584289
202302,170,1381.229007757598
202303,209,1333.2064338178093
202304,210,1388.3761991634487
202305,233,1394.8892703968922
202306,188,1471.782387619963
202307,207,1433.5227505621529
202308,253,1459.4732742629856
202309,155,1394.8048821432633
202310,174,1334.2785076211023
202311,160,1396.8337863705035
202312,155,1350.629178677835
202401,183,1418.157373426338
202402,189,1401.8148602587564
202403,271,1372.5739663710892
202404,260,1404.2822755056586
